 99 01 18 02     -3.6     -3.9     -5.0     -6.9     -6.1 
 99 01 18 21      0.9      0.6     -1.7     -5.7     -4.4 
 99 01 18 17      0.8      1.1     -1.1     -5.6     -3.9 
 99 01 18 12     -0.1      0.0     -1.1     -5.2     -4.4 
 99 01 18 01     -3.9     -4.4     -5.6     -7.6     -6.7 
 99 01 18 23     -0.7     -2.2     -3.3     -5.7     -5.0 
 99 01 18 05     -1.1     -1.7     -3.3     -5.8     -5.0 
 99 01 18 08     -0.9     -1.1     -1.7     -4.8     -3.9 
 99 01 18 13     -0.2      0.6     -1.1     -5.4     -4.4 
 99 01 18 16      0.3      1.1     -1.1     -5.7     -3.9 
 99 01 18 14     -0.4      1.1     -1.1     -5.5     -3.9 
 99 01 19 02     -1.6     -2.2     -3.3     -6.1     -5.0 
 99 01 19 08     -3.6     -4.4     -5.6     -8.3     -7.2 
 99 01 19 12     -5.7     -4.4     -5.6     -9.3     -7.8 
 99 01 19 00     -1.8     -2.8     -3.9     -6.1     -5.6 
 99 01 19 14     -7.3     -5.0     -5.6     -8.7     -7.2 
 99 01 19 19     -0.1     -1.1     -2.2     -4.8     -4.4 
 99 01 19 06     -2.8     -3.9     -4.4     -7.1     -6.1 
 99 01 19 07     -3.4     -4.4     -5.0     -8.2     -7.2 
 99 01 19 21     -0.2     -1.7     -2.2     -5.1     -4.4 
 99 01 19 15     -6.6     -4.4     -5.6     -8.5     -7.2 
 99 01 19 23     -1.2     -2.2     -3.3     -6.1     -5.0 
 99 01 19 13     -7.4     -5.6     -6.1     -9.5     -7.8 
 99 01 19 03     -1.7     -2.2     -3.9     -6.3     -5.0 
 99 01 19 22     -0.5     -1.7     -2.8     -5.7     -5.0 
 99 01 19 20     -0.1     -1.1     -2.2     -4.8     -3.9 
 99 01 19 04     -1.8     -2.2     -3.3     -6.1     -5.0 
 99 01 19 10     -3.6     -4.4     -5.6     -8.6     -7.2 
 99 01 19 16     -6.1     -3.9     -4.4     -7.3     -5.6 
 99 01 19 17     -4.5     -1.1     -3.3     -6.4     -5.0 
 99 01 19 18     -1.1     -1.1     -2.8     -5.8     -5.0 
 99 01 19 05     -2.4     -3.3     -3.9     -6.5     -5.6 
 99 01 19 09     -3.5     -3.9     -5.6     -8.5     -7.2 
 99 01 19 01     -1.9     -2.8     -3.3     -6.0     -5.0 
 99 01 19 11     -3.9     -4.4     -5.6     -8.4     -7.2 
 99 01 20 14     -2.2     -2.2     -4.4     -7.7     -6.1 
 99 01 20 17     -2.6     -3.3     -4.4     -7.3     -6.1 
 99 01 20 11     -4.4     -2.2     -3.9     -7.7     -6.1 
 99 01 20 22     -2.2     -3.3     -4.4     -7.6     -6.7 
 99 01 20 02     -2.8     -3.3     -5.6     -8.6     -6.7 
 99 01 20 01     -2.4     -3.3     -5.0     -8.3     -7.2 
 99 01 20 21     -1.8     -2.8     -4.4     -7.4     -6.7 
 99 01 20 08     -6.9     -4.4     -5.6     -8.9     -6.7 
 99 01 20 09     -5.8     -3.9     -5.6     -8.9     -7.2 
 99 01 20 19     -2.3     -3.3     -4.4     -7.1     -6.1 
 99 01 20 10     -5.0     -3.9     -5.0     -8.1     -6.7 
 99 01 20 05     -6.7     -4.4     -7.8     -9.7     -7.2 
 99 01 20 13     -2.3     -2.2     -3.9     -7.8     -6.1 
 99 01 20 00     -2.3     -3.3     -4.4     -7.6     -6.7 
 99 01 20 20     -1.8     -2.8     -4.4     -7.0     -6.7 
 99 01 20 16     -1.9     -2.8     -4.4     -7.3     -6.1 
 99 01 20 03     -3.3     -3.9     -6.1     -9.0     -7.2 
 99 01 20 04     -4.9     -4.4     -7.2     -9.5     -7.2 
 99 01 20 18     -2.8     -3.9     -5.0     -7.3     -6.1 
 99 01 20 07     -7.8     -4.4     -6.7     -9.1     -6.7 
 99 01 20 06     -7.7     -4.4     -7.8     -9.4     -7.2 
 99 01 20 15     -1.8     -2.2     -4.4     -7.9     -6.7 
 99 01 20 23     -1.9     -2.8     -4.4     -7.6     -6.7 
 99 01 20 12     -2.4     -1.7     -3.9     -7.6     -6.1 
 99 01 21 15     -7.9     -8.3    -10.0    -13.1    -11.7 
 99 01 21 09     -5.2     -6.1     -7.2    -10.4     -8.9 
 99 01 21 19     -8.2     -8.9    -10.0    -13.3    -12.2 
 99 01 21 03     -3.3     -3.9     -5.0     -7.7     -6.7 
 99 01 21 12     -7.1     -7.8     -8.9    -12.6    -11.1 
 99 01 21 13     -7.6     -8.3    -10.0    -13.1    -11.7 
 99 01 21 10     -6.2     -6.7     -8.3    -11.2    -10.0 
 99 01 21 21     -8.3     -8.9    -10.0    -13.6    -12.2 
 99 01 21 22     -8.4     -8.9    -10.6    -13.9    -12.8 
 99 01 21 05     -2.9     -3.3     -5.0     -7.7     -6.7 
 99 01 21 16     -8.0     -8.3    -10.0    -13.1    -11.7 
 99 01 21 01     -2.8     -3.3     -5.0     -8.1     -6.7 
 99 01 21 20     -8.2     -8.9    -10.6    -13.3    -12.2 
 99 01 21 14     -7.8     -8.3    -10.0    -13.2    -11.7 
 99 01 21 11     -6.3     -7.2     -8.3    -11.4    -10.0 
 99 01 21 08     -4.1     -5.0     -6.1     -8.9     -7.8 
 99 01 21 06     -2.9     -3.9     -5.0     -7.8     -6.7 
 99 01 21 00     -2.6     -3.3     -5.0     -7.6     -6.7 
 99 01 21 18     -7.8     -8.3    -10.0    -13.1    -12.2 
 99 01 21 17     -7.8     -8.3    -10.0    -12.9    -11.7 
 99 01 21 02     -2.9     -3.9     -5.0     -8.2     -7.2 
 99 01 21 07     -3.2     -3.9     -5.6     -8.1     -7.2 
 99 01 21 04     -3.2     -3.9     -5.0     -7.4     -6.7 
 99 01 21 23     -8.0     -8.9    -10.6    -13.7    -12.2 
 99 01 22 22     -3.0     -5.6     -7.8     -9.3    -10.0 
 99 01 22 12    -10.2    -10.6    -12.2    -15.2    -13.9 
 99 01 22 21     -3.9     -5.6     -7.8     -9.4    -10.6 
 99 01 22 18    -12.8     -4.4    -12.2    -12.9    -13.3 
 99 01 22 08     -9.1     -9.4    -11.1    -14.4    -13.3 
 99 01 22 16    -13.9    -12.2    -14.4    -15.7    -13.9 
 99 01 22 01     -8.6     -9.4    -11.1    -14.2    -12.8 
 99 01 22 19     -8.5     -3.3    -11.1    -10.8    -11.7 
 99 01 22 09     -9.2     -9.4    -11.7    -14.6    -13.3 
 99 01 22 14    -12.6    -12.2    -12.8    -15.4    -13.9 
 99 01 22 17    -13.8     -7.2    -13.9    -14.1    -13.9 
